comic_uri,type,title,author,origin_country,publication_date,genre
http://www.wikidata.org/entity/Q100740599,manhwa series,The Blood of Madame Giselle,,South Korea,,
http://www.wikidata.org/entity/Q103820430,manhwa series,Sweet Home,,South Korea,2017-10-12T00:00:00Z,"apocalyptic fiction, horror fiction, thriller"
http://www.wikidata.org/entity/Q103820430,manhwa series,Sweet Home,,South Korea,2018-01-15T00:00:00Z,"apocalyptic fiction, horror fiction, thriller"
http://www.wikidata.org/entity/Q105673876,manhwa series,Love and Leashes,,South Korea,,"Sunjeong manhwa, comedy, romance"
http://www.wikidata.org/entity/Q106365576,manhwa series,Who Made Me a Princess,,South Korea,2017-12-20T00:00:00Z,
http://www.wikidata.org/entity/Q106365576,manhwa series,Who Made Me a Princess,,South Korea,2019-07-05T00:00:00Z,
http://www.wikidata.org/entity/Q106588507,manhwa series,Solo Leveling,Marin,South Korea,,
http://www.wikidata.org/entity/Q106656188,manhwa series,Secret Playlist,,South Korea,2020-09-14T00:00:00Z,romance
http://www.wikidata.org/entity/Q106656188,manhwa series,Secret Playlist,,South Korea,2020-12-25T00:00:00Z,romance
http://www.wikidata.org/entity/Q107157405,manhwa series,Savage Garden,Lee Hyeon-sook,South Korea,2008-11-25T00:00:00Z,
http://www.wikidata.org/entity/Q107401781,manhwa series,Goblin Hill,,South Korea,2013-08-20T00:00:00Z,"adventure fiction, fantasy"
http://www.wikidata.org/entity/Q109269720,manhwa series,Bastard,,South Korea,2014-07-04T00:00:00Z,
http://www.wikidata.org/entity/Q109303629,manhua,SQ: Begin W/Your Name!,,People's Republic of China,2015-10-01T00:00:00Z,"LGBTI+ related media, romance, slice of life"
http://www.wikidata.org/entity/Q109308563,manhwa series,Her Tale of Shim Chong,,South Korea,,"LGBTI+ related media, historical fiction, romance"
http://www.wikidata.org/entity/Q109321236,manhua,Heaven Official's Blessing,,People's Republic of China,,"LGBTI+ related media, Xianxia, historical fiction"
